conversation_id,message_id,date_sent
-9195479158723952412,-9195479158723952412,1584883309
-8989313908678491779,-8989313908678491779,1585012845
-8943664340524785686,-8943664340524785686,1585258544
-8883006069834285327,-8883006069834285327,1585014530
-8496388141410733957,-8496388141410733957,1586025425
-7785057591456295489,-7785057591456295489,1582181336
-7648172013259622505,-7648172013259622505,1585096615
-7437857699687355411,-7437857699687355411,1581192944
-7233916946705371768,-7233916946705371768,1586488373
-7196015868275375587,-7196015868275375587,1585688400
-6895612913432454801,-6895612913432454801,1585962186
-6892095178463786057,-6892095178463786057,1581644986
-6761738157535089717,-6761738157535089717,1584464496
-6303743845951167792,-6303743845951167792,1581773427
-6298874482722982257,-6298874482722982257,1585163039
-6119702193866042403,-6119702193866042403,1583882713
-6090522692275413645,-6090522692275413645,1585342800
-5884663905115015518,-5884663905115015518,1582299321
-5832877578389008631,-5832877578389008631,1580322521
-5727246641716001898,-5727246641716001898,1586719409
-5610870383140551810,-5610870383140551810,1586196467
-5547796597583174400,-5547796597583174400,1582268305
-5444960464363896349,-5444960464363896349,1583343773
-5385386176217690573,-5385386176217690573,1582322400
-5357186689670214628,-5357186689670214628,1581945815
-5328518848351563547,-5328518848351563547,1586047014
-5061402589034770031,-5061402589034770031,1581772593
-5047677473155794996,-5047677473155794996,1581770498
-4996725533213504631,-4996725533213504631,1581770218
-4478795073614248110,-4478795073614248110,1581644841
-3863628830003047948,-3863628830003047948,1586916229
-3778383095744072102,-3778383095744072102,1584926735
-3379217471912024171,-3379217471912024171,1582298839
-3205377180171429586,-3205377180171429586,1586025425
-2854030538994905542,-2854030538994905542,1582149600
-2831221396874388855,-2831221396874388855,1586553205
-2496349908042189933,-2496349908042189933,1580479200
-2317483620235530382,-2317483620235530382,1586153166
-2274667692839742103,-2274667692839742103,1584827261
-2138479967756916699,-2138479967756916699,1581771843
-2008545642577098051,-2008545642577098051,1584141066
-1992822115312789504,-1992822115312789504,1585014234
-1859492429105594592,-1859492429105594592,1585015107
-1190273655973684638,-1190273655973684638,1581770498
-1078933640882776797,-1078933640882776797,1586027872
-988821044973299305,-988821044973299305,1586438773
-918148931411098107,-918148931411098107,1581648333
-631951485052647864,-631951485052647864,1585013328
-475265993225783372,-475265993225783372,1585163013
-448395472253785828,-448395472253785828,1584827389
-427157138122080057,-427157138122080057,1582369553
-332418902521824264,-332418902521824264,1586135703
-269712480428455707,-269712480428455707,1584838274
-197886292116969409,-197886292116969409,1585228501
-137932586374771158,-137932586374771158,1584839484
387401289288289630,387401289288289630,1585014260
528179220946406211,528179220946406211,1582856415
1152693679398518102,1152693679398518102,1581963275
1666040244247899261,1666040244247899261,1582354674
1691632938734562469,1691632938734562469,1581773022
1745611263246794371,1745611263246794371,1581648704
2313615902158810607,2313615902158810607,1585014515
2469435521926178119,2469435521926178119,1580322607
2489604442242670543,2489604442242670543,1587044053
2534127399109977120,2534127399109977120,1586851749
2729828387940125827,2729828387940125827,1585013950
2825417098659491495,2825417098659491495,1584055063
3332026825277639062,3332026825277639062,1585096797
3910907786299623252,3910907786299623252,1585083625
4015337129947362489,4015337129947362489,1584929004
4496447957997685265,4496447957997685265,1582397489
4579854745132544900,4579854745132544900,1585096381
4645140509185206414,-7016933177080703433,1584884857
4645140509185206414,-5831438990433309781,1584884879
4645140509185206414,-5626138248216152831,1584884888
4645140509185206414,-1882679636544154683,1584884877
4645140509185206414,3793382345184412144,1584884883
4645140509185206414,4645140509185206414,1584884759
4645140509185206414,6832668549670417000,1584884854
4645140509185206414,8156502482184656936,1584884890
4645140509185206414,8983160130577188555,1584884886
4920899576466481511,4920899576466481511,1582437335
4970986088187506225,4970986088187506225,1585339200
5137595835139976242,5137595835139976242,1584839484
5388601350215458880,5388601350215458880,1582893771
5461373292082691286,5461373292082691286,1586671387
5600925632585292665,5600925632585292665,1581773525
5866263849704454379,5866263849704454379,1580589690
5920189952304018033,5920189952304018033,1587044123
6428268331510782901,6428268331510782901,1582397525
6839622294575302061,6839622294575302061,1580312466
6866796126971542123,6866796126971542123,1585014408
7102393359209872932,7102393359209872932,1581706800
7165909412371320100,7165909412371320100,1584806741
7193262899052988233,7193262899052988233,1580322464
7579337443055424578,7579337443055424578,1586015927
7849129870048584285,7849129870048584285,1585012711
7905211801942990563,7905211801942990563,1584839905
7987327653962252277,7987327653962252277,1584839551
7992755215600840278,7992755215600840278,1584827276
8140192239618270505,8140192239618270505,1586912040
8152685341480264969,8152685341480264969,1586255638
8209436898097488953,8209436898097488953,1581644951
8223928241515779968,8223928241515779968,1581463516
8225245318363247275,8225245318363247275,1582299216
8488285743393118773,8488285743393118773,1585203464
8518656150607573555,8518656150607573555,1581770408
8565273779747861623,8565273779747861623,1580997600
8782058183630853132,8782058183630853132,1584827981
8791310151723539192,8791310151723539192,1585228499
8934106926536327260,8934106926536327260,1581770707
8965796123199500387,8965796123199500387,1586015894
9061290025525443015,9061290025525443015,1585930975
9158511179413985761,9158511179413985761,1586135814
